Brand,Product ID,SKU,Name,Handle,URL,Category,Tags,Price,Compare At Price,Currency,Available,Scraped At,Image URLs
nuun,7942791626939,,Nuun Berry Bundle - 18% Off,berry-bundle,https://nuunlife.com/products/berry-bundle,bundles,"[""bundles""]",24.9,30.37,USD,0,2026-04-30T23:06:58.348821,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/BerryBundle_18_off.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/BerryBundle_18_off_Tile2.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/BerryBundle_18_off_Tile3.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/BerryBundle_18_off_Tile5.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Berry_Bundle_18_off.png"
nuun,7942792020155,,Nuun Citrus Bundle - 18% Off,citrus-bundle,https://nuunlife.com/products/citrus-bundle,bundles,"[""bundles""]",24.16,29.46,USD,0,2026-04-30T23:06:58.347385,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/CitrusBundle_18_off.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/CitrusBundle_18_off_Tile2.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/CitrusBundle_18_off_Tile3.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/CitrusBundle_18_off_Tile5.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/CitrusBundle_18_off.png"
nuun,6235131773115,1254301 Energy Watermelon Burst tube,Nuun Energy,nuun-energy,https://nuunlife.com/products/nuun-energy,Energy,"[""EnergizedCollection"", ""gluten-free"", ""kosher"", ""Level1"", ""NarvarReturns"", ""non-gmo"", ""nuuniverse"", ""product"", ""Promo"", ""Tablet"", ""vegan"", ""YGroup_Energy""]",7.99,,USD,1,2026-04-30T23:06:58.368240,"https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Tube-Single-w-tabs-Energy-WatermelonBurst.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/DTC-Hero-Rendering-Energy_1200x1200_R1.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Tube-Single-w-tabs-Energy-GingerLimeZing.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Tube-Single-w-tabs-Energy-TropicalPunch.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Tube-Single-w-tabs-Energy-BerryBlast.png"
nuun,6596864606395,1254308 Energy Watermelon Burst 8pk,Nuun Energy 8-Pack,nuun-energy-8-pack,https://nuunlife.com/products/nuun-energy-8-pack,Energy,"[""8Pack"", ""gluten-free"", ""informed-choice"", ""kosher"", ""non-gmo"", ""vegan"", ""YGroup_Energy""]",56.0,63.92,USD,1,2026-04-30T23:06:58.366534,"https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Caddy-Open2-Energy-WatermelonBurst.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/DTC-Hero-Rendering-Energy_1200x1200_R1_a98575ed-4a71-4b7c-86fe-481a3987499a.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Caddy-Open2-Energy-BerryBlast.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Caddy-Open2-Energy-GingerLimeZing.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Caddy-Open2-Energy-TropicalPunch.png"
nuun,8332637536443,12625432 Energy Caffeine Cherry Limeade tube,Nuun Energy Caffeine + B Vitamins,energy-caffeine-b-vitamins,https://nuunlife.com/products/energy-caffeine-b-vitamins,Energy,"[""DailySupportCollection"", ""Energy Caffeine + B Vitamins"", ""gluten-free"", ""HydratedCollection"", ""informed-choice"", ""kosher"", ""Level2"", ""NarvarReturns"", ""non-gmo"", ""nuuniverse"", ""nvgroup_7"", ""product"", ""Promo"", ""SR"", ""Tablet"", ""vegan""]",7.99,,USD,1,2026-04-30T23:06:58.330756,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080001_nuunenergy_cherry.MAIN_2x_3a210804-5886-4af5-ab6e-7ee1e9dc8ca5.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080001_nuunenergy_cherry.PT03_2x_2ab196a4-40b2-4349-aa94-88f914a055dd.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080001_nuunenergy_cherry.PT05_2x_b68d8ca1-d74b-4ba3-8de6-f65ed09571ce.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080001_nuunenergy_cherry.PT07_2x_436c8812-4371-470e-ad63-08c6dc4c514a.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080001_nuunenergy_cherry.PT06_2x_99a5bc39-f42e-4c5a-84da-fd560ae49db8.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080002_nuunenergy_lime.MAIN_2x_6e7e9c6d-fa1c-4666-a46b-981d90da799c.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080002_nuunenergy_lime.PT03_2x_d7e80276-2665-49b6-b3ae-05597b7afcf5.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080002_nuunenergy_lime.PT05_2x_2eda2b18-2186-4ce5-838d-99d0de1ecb94.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080002_nuunenergy_lime.PT07_2x_d85ee3b0-4e51-460f-b88c-70baf9b2e4ee.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080002_nuunenergy_lime.PT06_2x_d01b9312-c6a9-413b-9a9e-0ea1202732a2.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080003_nuunenergy_peachrasp.MAIN_2x_08df8a78-10b0-4a07-b654-d1ca616a1b09.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080003_nuunenergy_peachrasp.PT03_2x_470150a2-6892-49fe-9bb0-73288005cc40.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080003_nuunenergy_peachrasp.PT05_2x_fffbcab8-133e-403d-8cf2-f4f5df5085db.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080003_nuunenergy_peachrasp.PT07_2x_34148056-6fd4-4c4d-be89-a93ccb789b7b.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080003_nuunenergy_peachrasp.PT06_2x_2db36855-7b40-4ad9-854f-6c0008dc60c5.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080004_nuunenergy_tropfruit.MAIN_2x_e0e99a31-eba7-4100-b36e-ed0a6db2f975.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080004_nuunenergy_tropfruit.PT03_2x_1d085061-7831-42a5-acaa-e572157492f6.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080004_nuunenergy_tropfruit.PT05_2x_e3a362c4-1aa2-4b85-8c5e-d335094552a7.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080004_nuunenergy_tropfruit.PT07_2x_169e695d-0263-4af8-aa01-9e52eaaefd08.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080004_nuunenergy_tropfruit.PT06_2x_3b53da71-a396-4f1b-a5a7-0ca1af39d118.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.MAIN_2x_edc11b43-e2ce-4119-b5e8-75bb57f582ad.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT03_2x_18b4b4d4-b91d-4715-bbb3-a35f7e40c767.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT05_2x_1765d978-320d-43d9-a888-ff69aa75dc3b.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT07_2x_58069807-5208-4ad6-83bc-616e2468a45e.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT06_2x_55c214a4-2b34-409f-93ab-251555565b87.png"
nuun,8342557556923,12625967 Energy Caffeine Cherry Limeade 8pk,Nuun Energy Caffeine + B Vitamins 8-Pack,energy-caffeine-b-vitamins-8-pack,https://nuunlife.com/products/energy-caffeine-b-vitamins-8-pack,Energy,"[""8Pack"", ""gluten-free"", ""informed-choice"", ""kosher"", ""non-gmo"", ""vegan"", ""YGroup_Sport""]",53.5,59.92,USD,1,2026-04-30T23:06:58.328382,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/CherryLimeade_3000x3000_copy_3_932548cd-489c-40d2-9316-5d7b89f5fc2b.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080001_nuunenergy_cherry.PT03_2x_31d06b87-108b-4066-ba5c-5dd9899fb4a2.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT05_2x_055a2081-7db1-455a-8368-aea17773ceaf.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT07_2x_93f7397d-812a-43de-945f-b5ebb69f0f9a.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT06_2x_8355cd6a-1e4d-4f6d-a8af-c112dd163720.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/FreshLime_3000x3000_copy_2.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080002_nuunenergy_lime.PT03_2x_e8f8f2a6-d0d9-4eb1-881d-3ea1c8ce37ee.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT05_2x_1e65f867-765a-4ff5-a68f-2ed8a6ea806a.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT07_2x_b6d1336f-0566-43bc-981e-aa35bde575fe.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT06_2x_d3afbddd-ee4a-4fd6-a85e-a185e22f9b92.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/PeachRaspberry_3000x3000_copy.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT03_2x_7ae6c661-289e-45e5-aa5e-ae9efb68388c.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT05_2x_222d7b38-9860-4562-b250-dc03e1826a0b.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT07_2x_aff8c602-a0f4-404f-972e-058583756d57.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT06_2x_471e7f78-1b53-4b7e-bbcf-6f1e20673794.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/TropicalFruit_3000x3000_copy.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080004_nuunenergy_tropfruit.PT03_2x_fb0e6731-31ba-4ca3-ad4f-224b82dfc2f0.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT05_2x_0be76990-2e79-4fa0-a1de-de20892f04cf.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT07_2x_0c466eb5-3f46-4367-a399-0c3d0f3ef5f5.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT06_2x_90ed018f-7387-4b6a-a37a-bb9d8f4d2896.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/WildBerry_3000x3000_520ae459-29c5-440d-8924-2fba591b146e.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082080005_nuunenergy_wildberry.PT03_2x_9f23894b-7560-42b9-bf18-34a92141a1ac.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT05_2x_f7f88f88-a2c5-4439-a378-339024a6dfb1.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT07_2x_f13cff38-5037-4dfe-9a0d-3557a92ec3fe.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/C082090001_nuunenergy_multi.PT06_2x_f5712a35-d22d-4509-8ac1-1b1d3f1774a9.png"
nuun,4423509016612,1202901 Immunity BT tube,Nuun Immunity,nuun-immunity,https://nuunlife.com/products/nuun-immunity,Immunity,"[""DailySupportCollection"", ""gluten-free"", ""kosher"", ""Level1"", ""main immunity"", ""narvar-group-immunity"", ""NarvarReturns"", ""non-gmo"", ""nuuniverse"", ""product"", ""Promo"", ""RejuvenatedCollection"", ""Tablet"", ""vegan"", ""YGroup_Immunity""]",7.49,,USD,1,2026-04-30T23:06:58.355651,"https://cdn.shopify.com/s/files/1/0014/3563/1652/products/DTC-Hero-Rendering-Immunity_1200x1200_R1.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Tube-Single-w-tabs-Immunity-BlueberryTangerine_ae15fd32-9feb-4901-85c7-c89523e7e321.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Tube-Single-w-tabs-Immunity-OrangeCitrus_c9645368-3a2d-46b2-a70e-b22986ce6989.png"
nuun,6613103313083,1202908 Immunity BT 8pk,Nuun Immunity 8-Pack,nuun-immunity-8-pack,https://nuunlife.com/products/nuun-immunity-8-pack,Immunity,"[""8Pack"", ""gluten-free"", ""informed-choice"", ""kosher"", ""non-gmo"", ""vegan"", ""YGroup_Immunity""]",53.5,59.92,USD,1,2026-04-30T23:06:58.363384,"https://cdn.shopify.com/s/files/1/0014/3563/1652/products/DTC-Hero-Rendering-Immunity_1200x1200_R1_322f6539-65df-4539-9b16-b472c6287376.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Caddy-Open2-Immunity-BlueberryTangerine.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/products/Caddy-Open2-Immunity-OrangeCitrus.png"
nuun,7969759264955,,Nuun Routine Reset Bundle - 20% Off,routine-reset-bundle,https://nuunlife.com/products/routine-reset-bundle,bundles,"[""bundles""]",37.57,46.96,USD,1,2026-04-30T23:06:58.338035,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/RoutineResetBundle_20_off.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Tile2.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Tile3.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Tile4.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Tile5.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/RoutineResetBundle_20_off.png"
nuun,4423509180452,ASM NUSL New Tube,Nuun Sport,nuun-sport,https://nuunlife.com/products/nuun-sport,Sport,"[""DailySupportCollection"", ""gluten-free"", ""HydratedCollection"", ""informed-choice"", ""kosher"", ""Level2"", ""main sport"", ""NarvarReturns"", ""non-gmo"", ""nuuniverse"", ""nvgroup_7"", ""product"", ""Promo"", ""SR"", ""Tablet"", ""vegan"", ""YGroup_Sport""]",7.49,,USD,1,2026-04-30T23:06:58.358936,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Strawberry_lemonade_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Watermelon_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Citrus_fruit_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Fruit_punch_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Grape_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Lemon_lime_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Orange_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Triberry_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Tropical_web.png"
nuun,7954558058683,ASM NECL New Tube,Nuun Sport +Caffeine,nuun-sport-caffeine-1,https://nuunlife.com/products/nuun-sport-caffeine-1,Sport,"[""DailySupportCollection"", ""gluten-free"", ""HydratedCollection"", ""informed-choice"", ""kosher"", ""Level2"", ""NarvarReturns"", ""non-gmo"", ""nuuniverse"", ""nvgroup_7"", ""product"", ""Promo"", ""SR"", ""Tablet"", ""vegan""]",7.49,,USD,1,2026-04-30T23:06:58.345150,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Cherry_limeade_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Fresh_lime_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Mango_orange_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Wild_berry_web.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Nuun_Tube_Upright_withTabs_Konacola_web.png"
nuun,6613111275707,ASM 8PK NUWM NEW,Nuun Sport 8-Pack,nuun-sport-8-pack,https://nuunlife.com/products/nuun-sport-8-pack,Sport,"[""8Pack"", ""gluten-free"", ""informed-choice"", ""kosher"", ""non-gmo"", ""vegan"", ""YGroup_Sport""]",53.5,59.92,USD,1,2026-04-30T23:06:58.361082,"https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287591-Watermelon-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/DTC-Hero-Rendering-Sport_1200x1200_R1.jpg,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287611-CitrusFruit-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287601-FruitPunch-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287610-Grape-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287579-LemonLime-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287578-Orange-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287593-StrawberryLemonade-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287594-TriBerry-open-A.png,https://cdn.shopify.com/s/files/1/0014/3563/1652/files/Caddy-Caff-44287592-Tropical-open-A.png"
